Video Url,Thumbnail Url,Video Title,Video Posting Time,Number of Views,_id
https://www.youtube.com/watch?v=YiBqvPi8Q1I,https://i.ytimg.com/vi/YiBqvPi8Q1I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAyxV_JDgk8dhcURfpinoX4xMOKGQ,Upto 35% Off On All PW Batches 🔥 | Only 1 Day Left 🤯 #SapneDekhneKiAzaadi,1 month ago,"14,337 views",650cd8f51a98ea52592ae748
https://www.youtube.com/watch?v=mw9mLdN6ssA,https://i.ytimg.com/vi/mw9mLdN6ssA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBr9yZ9mMeu874EolUAXr4mL9w8bw,Happy 77th Independence Day 🇮🇳 | Check the Offers Now 🔥 #SapneDekhneKiAzaadi,1 month ago,"47,507 views",650cd8f51a98ea52592ae749
https://www.youtube.com/watch?v=LuTONVLzESM,https://i.ytimg.com/vi/LuTONVLzESM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDbbIoxtBQT_Pc2yWrfUxAjNL6Xxg,ARTS की दुनिया की PAHAL 🔥 || Launching Class 11th ARTS BATCH,1 month ago,"25,731 views",650cd8f51a98ea52592ae74a
https://www.youtube.com/watch?v=KWXKegvNa-I,https://i.ytimg.com/vi/KWXKegvNa-I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDmSg3HSTm6r9HO6jbtt6X2k60Vhg,Something Big Coming Soon For Class - 9th & 10th Students 🔥 || Stay Tuned For More Updates 🖋️,2 months ago,"45,317 views",650cd8f51a98ea52592ae74b
https://www.youtube.com/watch?v=dArUpCasmnE,https://i.ytimg.com/vi/dArUpCasmnE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBZooZVux6hi4Pe2o44xgW0ZidzdA,Launching PAHAL Batch 🔥 For Class 11th Arts Students 💪,2 months ago,"39,381 views",650cd8f51a98ea52592ae74c
https://www.youtube.com/watch?v=HqG2QchBw8Y,https://i.ytimg.com/vi/HqG2QchBw8Y/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCCZpClghOPGpOOQ8S40M4xsoAeAA,Launching FUNDO For Class - 6th to 8th Students 🔥💯 || Ab Hoga Padhai Ke Sath FUN 🤩,2 months ago,"30,310 views",650cd8f51a98ea52592ae74d
https://www.youtube.com/watch?v=1izKrQHyx9M,https://i.ytimg.com/vi/1izKrQHyx9M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBGtmz4N3ui0L2WZs2S7qHvnIwQmQ,⚡Unleashing the Power of PW Internationally⚡| Launching Physics Wallah Gulf,3 months ago,"74,133 views",650cd8f51a98ea52592ae74e
https://www.youtube.com/watch?v=jXAb1evxaJc,https://i.ytimg.com/vi/jXAb1evxaJc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDmeiri9cimEVHPiAh5ootidgIzIg,Big Announcement for Gulf Region Aspirants 🔥| Physics Wallah Gulf Channel Trailer🚀,3 months ago,"101,749 views",650cd8f51a98ea52592ae74f
https://www.youtube.com/watch?v=2dn7XMxRtPE,https://i.ytimg.com/vi/2dn7XMxRtPE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCNuCKbYYT7Bqo7b2xVfh27z3YKMw,Arjuna JEE v/s Arjuna NEET 🏏- Class 11th Faculties ka Cricket Match 🔥,3 months ago,"559,025 views",650cd8f51a98ea52592ae750
https://www.youtube.com/watch?v=Fks4dVnTb5M,https://i.ytimg.com/vi/Fks4dVnTb5M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCHXf5XebQJcUioL-AX9g1ZXcizVQ,How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,3 months ago,"13,141 views",650cd8f51a98ea52592ae751
https://www.youtube.com/watch?v=nIuGXeISbSo,https://i.ytimg.com/vi/nIuGXeISbSo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDnazWdDQJGyaWrFBfL4fojeCtPFg,"BIGGEST OFFER For Class - 8th ,9th & 10th Students 🤩 || Grab This Opportunity Now 🔥",3 months ago,"46,322 views",650cd8f51a98ea52592ae752
https://www.youtube.com/watch?v=L5G-0FbyAsc,https://i.ytimg.com/vi/L5G-0FbyAsc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAdyC-5lXf_r6bkEwWQ46yoxdhibA,UDAAN Hindi Batch 🔥| Class 10th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,3 months ago,"22,524 views",650cd8f51a98ea52592ae753
https://www.youtube.com/watch?v=uqDX6hcRf2I,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLClh4rZkat6-ZrnFmV1r9LfVQIMIQ,NEEV 2.0 Batch 🔥 | Class 9th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,3 months ago,"39,376 views",650cd8f51a98ea52592ae754
https://www.youtube.com/watch?v=9ZVfDuqKIQM,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCnJoDuIK1sTwOwMeVCK0TgqBMqWg,How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,3 months ago,"19,143 views",650cd8f51a98ea52592ae755
https://www.youtube.com/watch?v=1wMGzlQTyeM,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCriEk9XKxmE8B9bV2i9bVMSBgSrg,How To Prepare For National Science Olympiad? 🔥 || A Complete Guide For Class 9th & 10th Students,3 months ago,"114,378 views",650cd8f51a98ea52592ae756
https://www.youtube.com/watch?v=ivS0xPAbVUs,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDK11Y9cIabVtUjp1nmjPsbzGvtPQ,How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! 🔥,3 months ago,"41,624 views",650cd8f51a98ea52592ae757
https://www.youtube.com/watch?v=UJb799ZLCwQ,https://i.ytimg.com/vi/UJb799ZLCwQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCybvaLSQPFcP0WWtgpRmcEvCF_ig,Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,4 months ago,"45,302 views",650cd8f51a98ea52592ae758
https://www.youtube.com/watch?v=RPCHRtdO9hg,https://i.ytimg.com/vi/RPCHRtdO9hg/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCrk2Bz2QtjI49bCY2WslrJRXxPcA,Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 🔥,4 months ago,"24,593 views",650cd8f51a98ea52592ae759
https://www.youtube.com/watch?v=iN2UWJW3lzo,https://i.ytimg.com/vi/iN2UWJW3lzo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDsdt80zcMf4TIuaTmcc7fwf4-E5w,How To Plan Maths Strategy For Class -10th To Score 95%+ Marks || CBSE Boards 🔥,4 months ago,"464,991 views",650cd8f51a98ea52592ae75a
https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCB6VmICIFkLrPomPaIlEkOgVqeFQ,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,4 months ago,"18,389 views",650cd8f51a98ea52592ae75b
https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCB6VmICIFkLrPomPaIlEkOgVqeFQ,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,4 months ago,"18,389 views",650cd8f51a98ea52592ae75c
https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCB6VmICIFkLrPomPaIlEkOgVqeFQ,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,4 months ago,"18,389 views",650cd8f51a98ea52592ae75d
https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCB6VmICIFkLrPomPaIlEkOgVqeFQ,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,4 months ago,"18,389 views",650cd8f51a98ea52592ae75e
